muestra;valor
1;-151
2;-248
3;297
4;597
5;566
6;575
7;-68
8;126
9;-3
10;0
11;-108
12;-49
13;246
14;117
15;-341
16;68
17;662
18;-13
19;118
20;-52
21;-201
22;-114
23;48
24;222
25;-398
26;-8
27;-176
28;-186
29;93
30;359
31;115
32;165
33;281
34;245
35;-329
36;-6
37;34
38;602
39;225
40;19
41;9
42;-515
43;-583
44;-93
45;321
46;139
47;-45
48;-9
49;484
50;2124
51;3099
52;4101
53;4829
54;5212
55;4809
56;421
57;4358
58;4512
59;3194
60;305
61;2333
62;1591
63;796
64;307
65;-369
66;-726
67;-574
68;-698
69;-506
70;-1216
71;-908
72;-615
73;-368
74;-974
75;-1039
76;-573
77;-261
78;-336
79;66
80;-391
81;333
82;36
83;288
84;513
85;365
86;336
87;-138
88;-28
89;-181
90;-214
91;152
92;43
93;-7
94;204
95;32
96;-2
97;98
98;-158
99;-3
100;-12
101;-125
102;407
103;-6
104;-24
105;-38
106;421
107;389
108;-263
109;24
110;63
111;562
112;78
113;498
114;-3
115;-68
116;361
117;-19
118;-91
119;-194
120;-63
121;-105
122;354
123;-212
124;42
125;-12
126;-744
127;252
128;221
129;-101
130;-655
131;-242
132;139
133;19
134;-143
135;29
136;-77
137;1
138;-352
139;406
140;35
141;-454
142;-697
143;66
144;3
145;83
146;-112
147;1
148;-52
149;12
150;231
151;88
152;-199
153;-156
154;357
155;-521
156;8
157;-4
158;-139
159;-291
160;25
161;12
162;444
163;-118
164;-231
165;0
166;159
167;-392
168;175
169;243
170;-18
171;-8
172;76
173;-164
174;-13
175;193
176;-8
177;-28
178;365
179;102
180;2081
181;3331
182;3954
183;5234
184;5098
185;4923
186;4684
187;4468
188;4117
189;3441
190;2539
191;1931
192;1684
193;651
194;227
195;336
196;-877
197;-662
198;-1084
199;-973
200;-74
201;-939
202;-674
203;-1143
204;-488
205;-758
206;-67
207;75
208;-497
209;-238
210;-15
211;113
212;188
213;36
214;299
215;136
216;129
217;143
218;-227
219;168
220;21
221;671
222;243
223;276
224;-224
225;-123
226;-467
227;215
228;-164
229;-188
230;6
231;65
232;186
233;-41
234;109
235;215
236;16
237;-432
238;179
239;9
240;-46
241;-204
242;247
243;-445
244;-11
245;223
246;-114
247;-476
248;-98
249;-277
250;439
251;-18
252;-55
253;144
254;43
255;-124
256;301
257;-28
258;141
259;-8
260;-331
261;-271
262;39
263;-367
264;168
265;91
266;152
267;19
268;27
269;-166
270;119
271;311
272;7
273;173
274;-171
275;-11
276;-387
277;-268
278;-55
279;-419
280;-425
281;-27
282;-75
283;-342
284;184
285;-101
286;214
287;836
288;157
289;32
290;-185
291;259
292;-155
293;106
294;224
295;-59
296;-32
297;255
298;437
299;247
300;1693
301;3105
302;3969
303;4616
304;547
305;5388
306;4839
307;4846
308;4116
309;39
310;2368
311;2327
312;111
313;684
314;609
315;-61
316;-277
317;-944
318;-45
319;-1033
320;-419
321;-1227
322;-139
323;-1056
324;-693
325;-338
326;-667
327;179
328;-26
329;45
330;-198
331;409
332;-175
333;336
334;381
335;345
336;646
337;47
338;1055
339;83
340;457
341;205
342;-22
343;-11
344;24
345;-61
346;526
347;83
348;-19
349;-51
350;106
351;-19
352;197
353;-34
354;159
355;395
356;-8
357;79
358;496
359;-161
360;78
361;398
362;-243
363;-287
364;-371
365;-242
366;-1
367;-53
368;-459
369;-386
370;-59
371;3
372;-8
373;-135
374;-17
375;564
376;53
377;47
378;71
379;-382
380;-593
381;-508
382;305
383;-91
384;-158
385;-56
386;45
387;224
388;-308
389;31
390;202
391;-266
392;-502
393;61
394;37
395;652
396;-13
397;-4
398;-129
399;302
400;28
401;423
402;114
403;267
404;-32
405;47
406;-113
407;-155
408;-481
409;-356
410;67
411;-91
412;-246
413;341
414;217
415;-107
416;243
417;-286
418;512
419;2
420;187
421;135
422;-173
423;271
424;157
425;-189
426;6
427;-301
428;-77
429;-384
430;-155
431;-54
432;27
433;-43
434;-203
435;-1
436;-291
437;-162
438;393
439;33
440;-201
441;-26
442;-167
443;-176
444;-55
445;-113
446;35
447;395
448;-74
449;-88
450;218
451;205
452;149
453;1
454;-282
455;171
456;-68
457;41
458;-118
459;113
460;-68
461;-143
462;-354
463;-264
464;442
465;527
466;-256
467;-28
468;16
469;-11
470;459
471;14
472;-155
473;-312
474;24
475;1814
476;2845
477;4352
478;4823
479;5435
480;5057
481;5022
482;4328
483;3963
484;3648
485;3044
486;2056
487;2041
488;805
489;637
490;-56
491;-55
492;-27
493;-843
494;-1092
495;-1113
496;-973
497;-998
498;-888
499;-829
500;-897
501;-526
502;-769
503;-295
504;-116
505;47
506;277
507;-178
508;-138
509;702
510;893
511;451
512;75
513;35
514;229
515;-361
516;145
517;69
518;185
519;69
520;-853
521;-281
522;-381
523;-225
524;-501
525;-66
526;-231
527;147
528;-175
529;146
530;-347
531;-478
532;-249
533;153
534;287
535;-153
536;39
537;-31
538;31
539;-73
540;-139
541;65
542;143
543;-52
544;-673
545;539
546;-239
547;481
548;254
549;-669
550;-1
551;63
552;198
553;148
554;144
555;73
556;102
557;419
558;129
559;-44
560;2
561;158
562;-9
563;-198
564;-26
565;75
566;244
567;327
568;225
569;-183
570;205
571;-251
572;-31
573;-338
574;333
575;113
576;232
577;-32
578;76
579;-27
580;-326
581;-258
582;451
583;92
584;-8
585;-126
586;-265
587;325
588;245
589;113
590;111
591;324
592;283
593;365
594;-25
595;-16
596;301
597;273
598;273
599;34
600;1862
601;3106
602;4174
603;5152
604;5181
605;5176
606;4995
607;4076
608;447
609;3211
610;3225
611;2028
612;1565
613;704
614;719
615;-9
616;-462
617;-59
618;-637
619;-1281
620;-1405
621;-875
622;-923
623;-1341
624;-548
625;-806
626;-398
627;-92
628;-21
629;-304
630;-46
631;279
